"LAST_UPDATE","COUNTRY_REGION","PROVINCE_STATE","CONFIRMED","DEATHS","RECOVERED","ACTIVE"
"2020-03-23 00:00:00","Germany","Germany","29056","123","453","28480"
"2020-03-23 00:00:00","Italy","Italy","63927","6077","7432","50418"
"2020-03-23 00:00:00","Russia","Russia","438","1","17","420"
"2020-03-23 00:00:00","Spain","Spain","35136","2311","3355","29470"
"2020-03-23 00:00:00","US","US","43663","552","0","0"
"2020-03-23 00:00:00","United Kingdom","United Kingdom","6650","335","135","6180"
"2020-03-24 00:00:00","Germany","Germany","32986","157","3243","29586"
"2020-03-24 00:00:00","Italy","Italy","69176","6820","8326","54030"
"2020-03-24 00:00:00","Russia","Russia","495","1","22","472"
"2020-03-24 00:00:00","Spain","Spain","39885","2808","3794","33283"
"2020-03-24 00:00:00","US","US","53736","706","348","0"
"2020-03-24 00:00:00","United Kingdom","United Kingdom","8077","422","135","7520"
"2020-03-25 00:00:00","Germany","Germany","37323","206","3547","33570"
"2020-03-25 00:00:00","Italy","Italy","74386","7503","9362","57521"
"2020-03-25 00:00:00","Russia","Russia","658","3","29","626"
"2020-03-25 00:00:00","Spain","Spain","49515","3647","5367","40501"
"2020-03-25 00:00:00","US","US","65778","942","361","0"
"2020-03-25 00:00:00","United Kingdom","United Kingdom","9529","465","135","8929"
"2020-03-26 00:00:00","Germany","Germany","43938","267","5673","37998"
"2020-03-26 00:00:00","Italy","Italy","80589","8215","10361","62013"
"2020-03-26 00:00:00","Russia","Russia","840","3","38","799"
"2020-03-26 00:00:00","Spain","Spain","57786","4365","7015","46406"
"2020-03-26 00:00:00","US","US","83836","1209","681","0"
"2020-03-26 00:00:00","United Kingdom","United Kingdom","11658","578","135","10945"
"2020-03-27 00:00:00","Germany","Germany","50871","342","6658","43871"
"2020-03-27 00:00:00","Italy","Italy","86498","9134","10950","66414"
"2020-03-27 00:00:00","Russia","Russia","1036","4","45","987"
"2020-03-27 00:00:00","Spain","Spain","65719","5138","9357","51224"
"2020-03-27 00:00:00","US","US","101657","1581","869","0"
"2020-03-27 00:00:00","United Kingdom","United Kingdom","14543","759","135","13649"
"2020-03-28 00:00:00","Germany","Germany","57695","433","8481","48781"
"2020-03-28 00:00:00","Italy","Italy","92472","10023","12384","70065"
"2020-03-28 00:00:00","Russia","Russia","1264","4","49","1211"
"2020-03-28 00:00:00","Spain","Spain","73235","5982","12285","54968"
"2020-03-28 00:00:00","US","US","121465","2026","1072","0"
"2020-03-28 00:00:00","United Kingdom","United Kingdom","17089","1019","135","15935"
"2020-03-29 00:00:00","Germany","Germany","62095","533","9211","52351"
"2020-03-29 00:00:00","Italy","Italy","97689","10779","13030","73880"
"2020-03-29 00:00:00","Russia","Russia","1534","8","64","1462"
"2020-03-29 00:00:00","Spain","Spain","80110","6803","14709","58598"
"2020-03-29 00:00:00","US","US","140909","2467","2665","0"
"2020-03-29 00:00:00","United Kingdom","United Kingdom","19522","1228","135","18159"
"2020-03-30 00:00:00","Germany","Germany","66885","645","13500","52740"
"2020-03-30 00:00:00","Italy","Italy","101739","11591","14620","75528"
"2020-03-30 00:00:00","Russia","Russia","1836","9","66","1761"
"2020-03-30 00:00:00","Spain","Spain","87956","7716","16780","63460"
"2020-03-30 00:00:00","US","US","161831","2978","5644","0"
"2020-03-30 00:00:00","United Kingdom","United Kingdom","22141","1408","135","20598"
"2020-03-31 00:00:00","Germany","Germany","71808","775","16100","54933"
"2020-03-31 00:00:00","Italy","Italy","105792","12428","15729","77635"
"2020-03-31 00:00:00","Russia","Russia","2337","17","121","2199"
"2020-03-31 00:00:00","Spain","Spain","95923","8464","19259","68200"
"2020-03-31 00:00:00","US","US","188172","3873","7024","0"
"2020-03-31 00:00:00","United Kingdom","United Kingdom","25150","1789","135","23226"
"2020-04-01 00:00:00","Germany","Germany","77872","920","18700","58252"
"2020-04-01 00:00:00","Italy","Italy","110574","13155","16847","80572"
"2020-04-01 00:00:00","Russia","Russia","2777","24","190","2563"
"2020-04-01 00:00:00","Spain","Spain","104118","9387","22647","72084"
"2020-04-01 00:00:00","US","US","213372","4757","8474","0"
"2020-04-01 00:00:00","United Kingdom","United Kingdom","29474","2352","135","26987"
"2020-04-02 00:00:00","Germany","Germany","84794","1107","22440","61247"
"2020-04-02 00:00:00","Italy","Italy","115242","13915","18278","83049"
"2020-04-02 00:00:00","Russia","Russia","3548","30","235","3283"
"2020-04-02 00:00:00","Spain","Spain","112065","10348","26743","74974"
"2020-04-02 00:00:00","US","US","243599","5926","9001","0"
"2020-04-02 00:00:00","United Kingdom","United Kingdom","33718","2921","135","30662"
"2020-04-03 00:00:00","Germany","Germany","91159","1275","24575","65309"
"2020-04-03 00:00:00","Italy","Italy","119827","14681","19758","85388"
"2020-04-03 00:00:00","Russia","Russia","4149","34","281","3834"
"2020-04-03 00:00:00","Spain","Spain","119199","11198","30513","77488"
"2020-04-03 00:00:00","US","US","275586","7087","9707","0"
"2020-04-03 00:00:00","United Kingdom","United Kingdom","38168","3605","135","34428"
"2020-04-04 00:00:00","Germany","Germany","96092","1444","26400","68248"
"2020-04-04 00:00:00","Italy","Italy","124632","15362","20996","88274"
"2020-04-04 00:00:00","Russia","Russia","4731","43","333","4355"
"2020-04-04 00:00:00","Spain","Spain","126168","11947","34219","80002"
"2020-04-04 00:00:00","US","US","308853","8407","14652","0"
"2020-04-04 00:00:00","United Kingdom","United Kingdom","41903","4313","135","37455"
"2020-04-05 00:00:00","Germany","Germany","100123","1584","28700","69839"
"2020-04-05 00:00:00","Italy","Italy","128948","15887","21815","91246"
"2020-04-05 00:00:00","Russia","Russia","5389","45","355","4989"
"2020-04-05 00:00:00","Spain","Spain","131646","12641","38080","80925"
"2020-04-05 00:00:00","US","US","337072","9619","17448","0"
"2020-04-05 00:00:00","United Kingdom","United Kingdom","47806","4934","135","42737"
"2020-04-06 00:00:00","Germany","Germany","103374","1810","28700","72864"
"2020-04-06 00:00:00","Italy","Italy","132547","16523","22837","93187"
"2020-04-06 00:00:00","Russia","Russia","6343","47","406","5890"
"2020-04-06 00:00:00","Spain","Spain","136675","13341","40437","82897"
"2020-04-06 00:00:00","US","US","366667","10783","19581","0"
"2020-04-06 00:00:00","United Kingdom","United Kingdom","51608","5373","135","46100"
"2020-04-07 00:00:00","Germany","Germany","107663","2016","36081","69566"
"2020-04-07 00:00:00","Italy","Italy","135586","17127","24392","94067"
"2020-04-07 00:00:00","Russia","Russia","7497","58","494","6945"
"2020-04-07 00:00:00","Spain","Spain","141942","14045","43208","84689"
"2020-04-07 00:00:00","US","US","396223","12722","21763","0"
"2020-04-07 00:00:00","United Kingdom","United Kingdom","55242","6159","135","48948"
"2020-04-08 00:00:00","Germany","Germany","113296","2349","46300","64647"
"2020-04-08 00:00:00","Italy","Italy","139422","17669","26491","95262"
"2020-04-08 00:00:00","Russia","Russia","8672","63","580","8029"
"2020-04-08 00:00:00","Spain","Spain","148220","14792","48021","85407"
"2020-04-08 00:00:00","US","US","429052","14695","23559","0"
"2020-04-08 00:00:00","United Kingdom","United Kingdom","60733","7097","135","53501"
"2020-04-09 00:00:00","Germany","Germany","118181","2607","52407","63167"
"2020-04-09 00:00:00","Italy","Italy","143626","18279","28470","96877"
"2020-04-09 00:00:00","Russia","Russia","10131","76","698","9357"
"2020-04-09 00:00:00","Spain","Spain","153222","15447","52165","85610"
"2020-04-09 00:00:00","US","US","461437","16478","25410","0"
"2020-04-09 00:00:00","United Kingdom","United Kingdom","65077","7978","135","56964"
"2020-04-10 00:00:00","Germany","Germany","122171","2767","53913","65491"
"2020-04-10 00:00:00","Italy","Italy","147577","18849","30455","98273"
"2020-04-10 00:00:00","Russia","Russia","11917","94","795","11028"
"2020-04-10 00:00:00","Spain","Spain","158273","16081","55668","86524"
"2020-04-10 00:00:00","US","US","496535","18586","28790","0"
"2020-04-10 00:00:00","United Kingdom","United Kingdom","73758","8958","344","64456"
"2020-04-11 00:00:00","Germany","Germany","124908","2736","57400","64772"
"2020-04-11 00:00:00","Italy","Italy","152271","19468","32534","100269"
"2020-04-11 00:00:00","Russia","Russia","13584","106","1045","12433"
"2020-04-11 00:00:00","Spain","Spain","163027","16606","59109","87312"
"2020-04-11 00:00:00","US","US","526396","20462","31270","0"
