"LAST_UPDATE","COUNTRY_REGION","PROVINCE_STATE","CONFIRMED","DEATHS","RECOVERED","ACTIVE"
"2020-03-23 00:00:00","US","Oklahoma","81","2","0","0"
"2020-03-23 00:00:00","US","Wisconsin","425","5","0","0"
"2020-03-23 00:00:00","US","Minnesota","234","1","0","0"
"2020-03-23 00:00:00","US","Texas","758","9","0","0"
"2020-03-24 00:00:00","US","Oklahoma","106","3","0","0"
"2020-03-24 00:00:00","US","Wisconsin","481","5","0","0"
"2020-03-24 00:00:00","US","Minnesota","261","1","0","0"
"2020-03-24 00:00:00","US","Texas","955","12","0","0"
"2020-03-25 00:00:00","US","Oklahoma","164","5","0","0"
"2020-03-25 00:00:00","US","Wisconsin","621","7","0","0"
"2020-03-25 00:00:00","US","Minnesota","286","1","0","0"
"2020-03-25 00:00:00","US","Texas","1229","15","0","0"
"2020-03-26 00:00:00","US","Oklahoma","248","7","0","0"
"2020-03-26 00:00:00","US","Wisconsin","728","10","0","0"
"2020-03-26 00:00:00","US","Minnesota","344","2","0","0"
"2020-03-26 00:00:00","US","Texas","1563","21","0","0"
"2020-03-27 00:00:00","US","Oklahoma","322","8","0","0"
"2020-03-27 00:00:00","US","Wisconsin","926","14","0","0"
"2020-03-27 00:00:00","US","Minnesota","396","4","0","0"
"2020-03-27 00:00:00","US","Texas","1937","26","0","0"
"2020-03-28 00:00:00","US","Oklahoma","377","15","0","0"
"2020-03-28 00:00:00","US","Wisconsin","1055","17","0","0"
"2020-03-28 00:00:00","US","Minnesota","441","5","0","0"
"2020-03-28 00:00:00","US","Texas","2455","30","0","0"
"2020-03-29 00:00:00","US","Oklahoma","429","16","0","0"
"2020-03-29 00:00:00","US","Wisconsin","1164","18","0","0"
"2020-03-29 00:00:00","US","Minnesota","503","9","0","0"
"2020-03-29 00:00:00","US","Texas","2792","37","0","0"
