"LAST_UPDATE","Germany","Italy","Russia","Spain","US","United Kingdom"
"2020-03-23T00:00","29056","63927","438","35136","43663","6650"
"2020-03-24T00:00","32986","69176","495","39885","53736","8077"
"2020-03-25T00:00","37323","74386","658","49515","65778","9529"
"2020-03-26T00:00","43938","80589","840","57786","83836","11658"
"2020-03-27T00:00","50871","86498","1036","65719","101657","14543"
"2020-03-28T00:00","57695","92472","1264","73235","121465","17089"
"2020-03-29T00:00","62095","97689","1534","80110","140909","19522"
"2020-03-30T00:00","66885","101739","1836","87956","161831","22141"
"2020-03-31T00:00","71808","105792","2337","95923","188172","25150"
"2020-04-01T00:00","77872","110574","2777","104118","213372","29474"
"2020-04-02T00:00","84794","115242","3548","112065","243599","33718"
"2020-04-03T00:00","91159","119827","4149","119199","275586","38168"
"2020-04-04T00:00","96092","124632","4731","126168","308853","41903"
"2020-04-05T00:00","100123","128948","5389","131646","337072","47806"
"2020-04-06T00:00","103374","132547","6343","136675","366667","51608"
"2020-04-07T00:00","107663","135586","7497","141942","396223","55242"
"2020-04-08T00:00","113296","139422","8672","148220","429052","60733"
"2020-04-09T00:00","118181","143626","10131","153222","461437","65077"
"2020-04-10T00:00","122171","147577","11917","158273","496535","73758"
"2020-04-11T00:00","124908","152271","13584","163027","526396","78991"
"2020-04-12T00:00","127854","156363","15770","166831","555313","84279"
"2020-04-13T00:00","130072","159516","18328","170099","580619","88621"
"2020-04-14T00:00","131359","162488","21102","172541","607670","93873"
"2020-04-15T00:00","134753","165155","24490","177644","636350","98476"
"2020-04-16T00:00","137698","168941","27938","184948","667801","103093"
"2020-04-17T00:00","141397","172434","32008","190839","699706","108692"
"2020-04-18T00:00","143342","175925","36793","191726","732197","114217"
"2020-04-19T00:00","145184","178972","42853","198674","759086","120067"
"2020-04-20T00:00","147065","181228","47121","200210","784326","124743"
"2020-04-21T00:00","148291","183957","52763","204178","811865","129044"
"2020-04-22T00:00","150648","187327","57999","208389","840220","133495"
"2020-04-24T00:00","153129","189973","62773","213024","869170","138078"
"2020-04-25T00:00","154999","192994","68622","219764","905333","143464"
"2020-04-26T00:00","156513","195351","74588","223759","938154","148377"
"2020-04-27T00:00","157770","197675","80949","226629","965783","152840"
"2020-04-28T00:00","158758","199414","87147","229422","988197","157149"
"2020-04-29T00:00","159912","201505","93558","232128","1012582","161145"
"2020-04-30T00:00","161539","203591","99399","236899","1039909","165221"
"2020-05-01T00:00","163009","205463","106498","213435","1069424","171253"
"2020-05-02T00:00","164077","207428","114431","213435","1103461","177454"
"2020-05-03T00:00","164967","209328","124054","216582","1132539","182260"
